platform_dir,platform,file,device,backend,model,precision,prompt_length,ttft_ms_median,decode_ms_median,throughput_median,total_ms_median
m4pro_mps,m4pro_mps,tinyllama_q4_mps_gguf.json,mps,llama.cpp,tinyllama,q4,32,30.562103999999998,9.455937,104.54027382027509,1224.4090205
m4pro_mps,m4pro_mps,tinyllama_q4_mps_gguf.json,mps,llama.cpp,tinyllama,q4,64,49.883583,8.554959,109.53104832083358,1169.632917
m4pro_mps,m4pro_mps,tinyllama_q4_mps_gguf.json,mps,llama.cpp,tinyllama,q4,128,88.116604,8.3330835,111.80508357946005,1144.849563
m4pro_mps,m4pro_mps,tinyllama_q4_mps_gguf.json,mps,llama.cpp,tinyllama,q4,256,179.70570850000001,9.2041665,92.3404112145279,1387.1457915
m4pro_mps,m4pro_mps,tinyllama_q4_mps_gguf.json,mps,llama.cpp,tinyllama,q4,512,379.840583,10.3587705,75.58734282574618,1693.405208
m4pro_mps,m4pro_mps,tinyllama_q4_mps_gguf.json,mps,llama.cpp,tinyllama,q4,1024,784.987813,10.733459,59.45293423176764,2152.9636044999997
m4pro_mps,m4pro_mps,tinyllama_fp16_mps.json,mps,pytorch,tinyllama,fp16,32,37.950042,26.415209,37.65620358662653,3399.1747705
m4pro_mps,m4pro_mps,tinyllama_fp16_mps.json,mps,pytorch,tinyllama,fp16,64,56.399125,26.888333,36.89107737270429,3469.674396
m4pro_mps,m4pro_mps,tinyllama_fp16_mps.json,mps,pytorch,tinyllama,fp16,128,101.962666,27.8789375,35.15476278445492,3641.042916
m4pro_mps,m4pro_mps,tinyllama_fp16_mps.json,mps,pytorch,tinyllama,fp16,256,191.644021,29.986417,32.11440010593958,3985.7519795
m4pro_mps,m4pro_mps,tinyllama_fp16_mps.json,mps,pytorch,tinyllama,fp16,512,383.470709,34.03975,27.207203945028166,4704.636333500001
m4pro_mps,m4pro_mps,tinyllama_fp16_mps.json,mps,pytorch,tinyllama,fp16,1024,812.9121250000001,42.9125215,20.341350431096323,6292.602978999999
m4pro_mps,m4pro_mps,tinyllama_q8_mps_gguf.json,mps,llama.cpp,tinyllama,q8,32,27.532042,12.681208,77.94655947624724,1642.150875
m4pro_mps,m4pro_mps,tinyllama_q8_mps_gguf.json,mps,llama.cpp,tinyllama,q8,64,46.207167,12.7090415,76.98815941896645,1662.5934790000001
m4pro_mps,m4pro_mps,tinyllama_q8_mps_gguf.json,mps,llama.cpp,tinyllama,q8,128,87.58425,13.1241875,72.90349069562622,1755.745833
m4pro_mps,m4pro_mps,tinyllama_q8_mps_gguf.json,mps,llama.cpp,tinyllama,q8,256,164.48149999999998,13.376833,68.64581047227848,1864.6440205
m4pro_mps,m4pro_mps,tinyllama_q8_mps_gguf.json,mps,llama.cpp,tinyllama,q8,512,342.004833,13.885917,60.73061778039694,2107.668334
m4pro_mps,m4pro_mps,tinyllama_q8_mps_gguf.json,mps,llama.cpp,tinyllama,q8,1024,717.962771,14.923770999999999,48.98899058631187,2612.8319785000003
windows_3070,windows_3070,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,32,38.882686614990234,31.280048370361328,30.388888295577345,4213.268310546875
windows_3070,windows_3070,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,64,73.44486236572266,60.723201751708984,14.342493115555156,8913.671875
windows_3070,windows_3070,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,128,84.64230346679688,61.37446212768555,16.184669609094392,7904.123046875
windows_3070,windows_3070,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,256,172.80819702148438,65.57183837890625,15.021501036143423,8521.119140625
windows_3070,windows_3070,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,512,170.71820831298828,34.314239501953125,21.585456617131165,6043.00048828125
windows_3070,windows_3070,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,1024,445.16709899902344,31.079423904418945,16.454085135879296,7780.558837890625
windows_3070,windows_3070,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,32,75.42784118652344,43.612159729003906,22.29802410232131,5740.4189453125
windows_3070,windows_3070,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,64,76.20966339111328,43.624446868896484,22.38013290118503,5719.360107421875
windows_3070,windows_3070,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,128,78.77069091796875,44.55014419555664,20.15242376390419,6352.66162109375
windows_3070,windows_3070,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,256,99.68537902832031,43.63257598876953,22.200286311065522,5765.69140625
windows_3070,windows_3070,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,512,151.96260833740234,43.20614433288574,22.16110651315485,5775.88623046875
windows_3070,windows_3070,tinyllama_q4_cuda.json,cuda,pytorch,tinyllama,q4,1024,300.7160339355469,43.11387252807617,21.659517655398467,5909.646240234375
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,32,146.38285064697266,102.89920043945312,9.59778318866786,13336.45068359375
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,64,145.78688049316406,102.10918426513672,9.699120412771048,12926.8623046875
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,128,144.97689819335938,108.09599685668945,9.219022122258789,13884.9990234375
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,256,156.60851287841797,107.56505584716797,9.216160852400709,13888.646484375
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,512,217.90361785888672,106.92556762695312,9.218797337672335,13873.42578125
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,1024,372.5117492675781,106.61580657958984,9.206900848662832,13902.615234375
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,32,62.874207999999996,12.987042,74.42200305404876,1719.921458
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,64,116.319875,12.987333,72.32012809999897,1769.9086459999999
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,128,219.325375,12.9628745,68.37439737177039,1872.04575
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,256,426.877208,13.5022085,59.413000486017765,2154.425271
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,512,960.221709,13.9460005,46.75522114805746,2737.662166
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,1024,2145.024375,14.694333499999999,31.826735253281136,4021.776
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,32,75.752875,9.219375,102.0597096201569,1254.1680835000002
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,64,142.814312,9.212541,97.18168574441185,1317.121833
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,128,272.91447949999997,9.213833,88.26426597057421,1450.1905
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,256,534.4853545000001,9.734,71.92072392505821,1779.7374375
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,512,1162.393083,10.1644585,51.97488313462235,2462.728104
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,1024,2595.3942079999997,10.908813,31.96543031653411,4004.335146
